01/07/23;20:34:1:757506012;1;2.1690;-0.8969;-0.4853;-1.0288;3.0830;3.2277
01/07/23;20:34:1:957579970;1;3.4887;-1.0723;-0.1066;2.3324;-1.1111;-2.1490
01/07/23;20:34:10:157477021;1;-0.5930;-0.4543;0.0788;1.0513;-0.3549;0.9673
01/07/23;20:34:10:357445001;1;3.1935;-1.2121;-0.7962;-1.5987;0.2172;1.4943
01/07/23;20:34:10:556738018;1;0.1546;0.9510;-0.2890;-0.3544;0.2891;-0.8108
01/07/23;20:34:10:757521986;1;3.5644;-0.7968;-0.5089;1.2048;0.2651;-2.4589
01/07/23;20:34:10:957457005;1;-0.5205;-0.3186;0.0872;0.7769;-0.5214;1.3176
01/07/23;20:34:11:157607018;1;2.6827;-1.4362;-0.7252;-1.1778;-0.2708;1.5813
01/07/23;20:34:11:357460021;1;0.1770;1.0291;-0.1846;-0.5095;0.2879;-1.1556
01/07/23;20:34:11:556726992;1;3.3624;-0.6308;-0.5406;1.5782;-1.1420;-3.0218
01/07/23;20:34:11:757445991;1;-0.2582;-0.4886;0.0105;0.7879;-1.5142;-0.6180
01/07/23;20:34:11:957448005;1;2.6451;-0.8845;-0.6549;-0.2725;0.6725;3.4152
01/07/23;20:34:12:157449007;1;0.2458;1.2398;-0.2670;-0.4734;-0.1106;-0.4711
01/07/23;20:34:12:357451021;1;3.6693;-0.5573;-0.4015;1.6889;-0.3608;-2.5011
01/07/23;20:34:2:157679021;1;-0.5946;-0.4305;0.0742;0.8283;-0.7269;1.0145
01/07/23;20:34:2:357500016;1;2.6972;-0.8657;-0.6055;-1.6993;0.5025;0.6400
01/07/23;20:34:2:556809008;1;-0.0775;0.8829;-0.1928;0.0442;0.1985;-0.1702
01/07/23;20:34:2:757448017;1;3.2452;-0.8020;-0.2300;1.8437;-1.0075;-2.9294
01/07/23;20:34:2:957453012;1;-0.5386;-0.6799;0.2686;0.4493;-0.6322;0.5641
